"Catégorie","Produit","Lieu ","Prix moyen","Disponibilité","Evolution du prix","Zone de disponibilité","Date"
"VOS FRUITS","BANANE DESSERT (kg)","SAN-PÉDRO",400,"Moyen","dents de scie",,"2022-07-17"
"VOS FRUITS","PAPAYE (kg)","SAN-PÉDRO",800,"stable","en baisse",,"2022-07-17"
"VOS FRUITS","CITRON (kg)","SAN-PÉDRO",800,"En hausse","Baisse",,"2022-07-17"
"VOS FRUITS","ANANAS (kg)","BOUAKÉ",500,"moyen","stable",,"2022-07-17"
"VOS FRUITS","ORANGE (kg)","BOUAKÉ",200,"moyen","stable",,"2022-07-17"
"VOS FRUITS","BANANE DESSERT (kg)","BOUAKÉ",350,"Moyen","dents de scie",,"2022-07-17"
"VOS FRUITS","PAPAYE (kg)","BOUAKÉ",200,"stable","en baisse",,"2022-07-17"
"VOS FRUITS","CITRON (kg)","BOUAKÉ",700,"En hausse","Baisse",,"2022-07-17"
"VOS FRUITS","ANANAS (kg)","YAKRO",500,"moyen","stable",,"2022-07-17"
"VOS FRUITS","ORANGE (kg)","YAKRO",250,"moyen","stable",,"2022-07-17"
"VOS FRUITS","BANANE DESSERT (kg)","YAKRO",350,"Moyen","dents de scie",,"2022-07-17"
"VOS FRUITS","PAPAYE (kg)","YAKRO",200,"stable","en baisse",,"2022-07-17"
"VOS FRUITS","CITRON (kg)","YAKRO",875,"En hausse","Baisse",,"2022-07-17"
"VOS FRUITS","ANANAS (kg)","MAN",250,"moyen","stable",,"2022-07-17"
"VOS FRUITS","ORANGE (kg)","MAN",,"moyen","stable",,"2022-07-17"
"VOS FRUITS","BANANE DESSERT (kg)","MAN",400,"Moyen","dents de scie",,"2022-07-17"
"VOS FRUITS","PAPAYE (kg)","MAN",,"stable","en baisse",,"2022-07-17"
"VOS FRUITS","CITRON (kg)","MAN",800,"En hausse","Baisse",,"2022-07-17"
"VOS FRUITS","ANANAS (kg)","KORHOGO",500,"moyen","stable",,"2022-07-17"
"VOS FRUITS","ORANGE (kg)","KORHOGO",300,"moyen","stable",,"2022-07-17"
"VOS FRUITS","BANANE DESSERT (kg)","KORHOGO",400,"Moyen","dents de scie",,"2022-07-17"
"VOS FRUITS","PAPAYE (kg)","KORHOGO",800,"stable","en baisse",,"2022-07-17"
"VOS FRUITS","CITRON (kg)","KORHOGO",800,"En hausse","Baisse",,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","RIZ LOCAL (kg)","ABIDJAN",500,"moyen","stable",,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS  (kg)","ABIDJAN",400,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS DECORTIQUE  (kg)","ABIDJAN",400,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS POUDRE  (KABATO 1 kg)","ABIDJAN",600,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","ARACHIDE DECORTIQUES (kg)","ABIDJAN",900,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MIL  (KG)","ABIDJAN",500,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","AMANDE DE CAJOU (100 gr.)","ABIDJAN",1000,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","FONIO (400 GR.)","ABIDJAN",1250,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","RIZ LOCAL (kg)","SAN-PÉDRO",500,"moyen","stable",,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS  (kg)","SAN-PÉDRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS DECORTIQUE  (kg)","SAN-PÉDRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS POUDRE  (KABATO 1 kg)","SAN-PÉDRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","ARACHIDE DECORTIQUES (kg)","SAN-PÉDRO",900,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MIL  (KG)","SAN-PÉDRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","AMANDE DE CAJOU (100 gr.)","SAN-PÉDRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","FONIO (400 GR.)","SAN-PÉDRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","RIZ LOCAL (kg)","BOUAKÉ",500,"moyen","stable",,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS  (kg)","BOUAKÉ",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS DECORTIQUE  (kg)","BOUAKÉ",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS POUDRE  (KABATO 1 kg)","BOUAKÉ",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","ARACHIDE DECORTIQUES (kg)","BOUAKÉ",750,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MIL  (KG)","BOUAKÉ",600,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","AMANDE DE CAJOU (100 gr.)","BOUAKÉ",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","FONIO (400 GR.)","BOUAKÉ",900,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","RIZ LOCAL (kg)","YAKRO",400,"moyen","stable",,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS  (kg)","YAKRO",500,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS DECORTIQUE  (kg)","YAKRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS POUDRE  (KABATO 1 kg)","YAKRO",500,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","ARACHIDE DECORTIQUES (kg)","YAKRO",750,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MIL  (KG)","YAKRO",400,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","AMANDE DE CAJOU (100 gr.)","YAKRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","FONIO (400 GR.)","YAKRO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","RIZ LOCAL (kg)","MAN",400,"moyen","stable",,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS  (kg)","MAN",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS DECORTIQUE  (kg)","MAN",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS POUDRE  (KABATO 1 kg)","MAN",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","ARACHIDE DECORTIQUES (kg)","MAN",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MIL  (KG)","MAN",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","AMANDE DE CAJOU (100 gr.)","MAN",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","FONIO (400 GR.)","MAN",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","RIZ LOCAL (kg)","KORHOGO",400,"moyen","stable",,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS  (kg)","KORHOGO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS DECORTIQUE  (kg)","KORHOGO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MAIS POUDRE  (KABATO 1 kg)","KORHOGO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","ARACHIDE DECORTIQUES (kg)","KORHOGO",650,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","MIL  (KG)","KORHOGO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","AMANDE DE CAJOU (100 gr.)","KORHOGO",,,,,"2022-07-17"
"AUTRES PRODUITS POUR UNE BONNE NUTRITION","FONIO (400 GR.)","KORHOGO",,,,,"2022-07-17"
"DIVERS","SUCRE ROUX (kg)","ABIDJAN",,,,,"2022-07-17"
"DIVERS","SUCRE BLANC (kg)","ABIDJAN",,,,,"2022-07-17"
"DIVERS","LAIT LIQUIDE (L)","ABIDJAN",,,,,"2022-07-17"
"DIVERS","SUCRE ROUX (kg)","SAN-PÉDRO",,,,,"2022-07-17"
"DIVERS","SUCRE BLANC (kg)","SAN-PÉDRO",,,,,"2022-07-17"
"DIVERS","LAIT LIQUIDE (L)","SAN-PÉDRO",,,,,"2022-07-17"
"DIVERS","SUCRE ROUX (kg)","BOUAKÉ",,,,,"2022-07-17"
"DIVERS","SUCRE BLANC (kg)","BOUAKÉ",,,,,"2022-07-17"
"DIVERS","LAIT LIQUIDE (L)","BOUAKÉ",,,,,"2022-07-17"
"DIVERS","SUCRE ROUX (kg)","YAKRO",,,,,"2022-07-17"
"DIVERS","SUCRE BLANC (kg)","YAKRO",,,,,"2022-07-17"
"DIVERS","LAIT LIQUIDE (L)","YAKRO",,,,,"2022-07-17"
"DIVERS","SUCRE ROUX (kg)","MAN",,,,,"2022-07-17"
"DIVERS","SUCRE BLANC (kg)","MAN",,,,,"2022-07-17"
"DIVERS","LAIT LIQUIDE (L)","MAN",,,,,"2022-07-17"
"DIVERS","SUCRE ROUX (kg)","KORHOGO",,,,,"2022-07-17"
"DIVERS","SUCRE BLANC (kg)","KORHOGO",,,,,"2022-07-17"
"DIVERS","LAIT LIQUIDE (L)","KORHOGO",,,,,"2022-07-17"
,"KPONAN","ABIDJAN",600,"En hausse","baisse",,"2022-07-24"
,"ASSAWA","ABIDJAN",,"Faible",,,"2022-07-24"
,"BÊTÊ BÊTÊ","ABIDJAN",600,"Faible","En hausse",,"2022-07-24"
,"KLÊGLÊ","ABIDJAN",650,"Faible","En hausse",,"2022-07-24"
,"MANIOC","ABIDJAN",250,"Moyenne","stable","Dans la moitié sud du pays","2022-07-24"
,"POMME DE TERRE","ABIDJAN",500,"Bonne","baisse","importé","2022-07-24"
,"PATATE DOUCE","ABIDJAN",400,"Moyenne","stable","Nord - Korhogo-ferke- Bodo","2022-07-24"
,"MIL","ABIDJAN",400,"Moyenne","stable","Nord - BF","2022-07-24"
,"ARACHIDE DECORTIQUÉE","ABIDJAN",800,"Moyenne","stable","Nord","2022-07-24"
,"HARICOT CEREALE BLANC","ABIDJAN",500,"Moyenne","stable",,"2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(LONGS GRAINS)""}]}","ABIDJAN",500,"Moyenne","baisse","nord-ouest-centre-","2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(BRISURES)""}]}","ABIDJAN",300,"Moyenne","Baisse","nord-ouest-centre-","2022-07-24"
,"GOMBO Dioula","ABIDJAN",250,"Moyenne","baisse","Divo","2022-07-24"
,"GOMBO Baoulé","ABIDJAN",250,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"PIMENT","ABIDJAN",700,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"AUBERGINE VIOLETTE","ABIDJAN",400,"Moyenne","stable","Toumodi, yamoussoukro,  BF etc","2022-07-24"
,"AUBERGINE N'DROWA","ABIDJAN",500,"En hausse","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, BF etc","2022-07-24"
,"OIGNON BLANC","ABIDJAN",600,"Bonne","stable","HOLLANDE-ABIDJAN","2022-07-24"
,"OIGNON VIOLET - NIGER-BF","ABIDJAN",700,"Moyenne","hausse","NIGER-BF-ABIDJAN","2022-07-24"
,"CHOU","ABIDJAN",500,"faible","stable",,"2022-07-24"
,"COURGETTE","ABIDJAN",500,"Moyenne","stable",,"2022-07-24"
,"NAVET","ABIDJAN",800,"Moyenne","stable",,"2022-07-24"
,"CONCOMBRE","ABIDJAN",400,"Moyenne","stable",,"2022-07-24"
,"BANANE DOUCE","ABIDJAN",380,"Bonne","baisse",,"2022-07-24"
,"ANANAS","ABIDJAN",500,"Moyenne","stable","Sud","2022-07-24"
,"AVOCAT","ABIDJAN",400,"Moyenne","baisse","centre - Yamoussoukro","2022-07-24"
,"MANGUE","ABIDJAN",,"Faible","hausse",,"2022-07-24"
,"CITRON","ABIDJAN",200,"Bonne","baisse",,"2022-07-24"
,"PAPAYE","ABIDJAN",400,"Bonne","baisse",,"2022-07-24"
,"KPONAN","SAN-PÉDRO",700,"En hausse","baisse",,"2022-07-24"
,"ASSAWA","SAN-PÉDRO",500,"Faible",,,"2022-07-24"
,"BÊTÊ BÊTÊ","SAN-PÉDRO",,"Faible","En hausse",,"2022-07-24"
,"KLÊGLÊ","SAN-PÉDRO",500,"Faible","En hausse",,"2022-07-24"
,"MANIOC","SAN-PÉDRO",200,"Moyenne","stable","Dans la moitié sud du pays","2022-07-24"
,"POMME DE TERRE","SAN-PÉDRO",600,"Bonne","baisse","importé","2022-07-24"
,"PATATE DOUCE","SAN-PÉDRO",300,"Moyenne","stable","Nord - Korhogo-ferke- Bodo","2022-07-24"
,"MIL","SAN-PÉDRO",350,"Moyenne","stable","Nord - BF","2022-07-24"
,"ARACHIDE DECORTIQUÉE","SAN-PÉDRO",600,"Moyenne","stable","Nord","2022-07-24"
,"HARICOT CEREALE BLANC","SAN-PÉDRO",400,"Moyenne","stable",,"2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(LONGS GRAINS)""}]}","SAN-PÉDRO",400,"Moyenne","baisse","nord-ouest-centre-","2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(BRISURES)""}]}","SAN-PÉDRO",400,"Moyenne","Baisse","nord-ouest-centre-","2022-07-24"
,"GOMBO Dioula","SAN-PÉDRO",500,"Moyenne","baisse","Divo","2022-07-24"
,"GOMBO Baoulé","SAN-PÉDRO",500,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"PIMENT","SAN-PÉDRO",700,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"AUBERGINE VIOLETTE","SAN-PÉDRO",300,"Moyenne","stable","Toumodi, yamoussoukro,  BF etc","2022-07-24"
,"AUBERGINE N'DROWA","SAN-PÉDRO",300,"En hausse","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, BF etc","2022-07-24"
,"OIGNON BLANC","SAN-PÉDRO",600,"Bonne","stable","HOLLANDE-ABIDJAN","2022-07-24"
,"OIGNON VIOLET - NIGER-BF","SAN-PÉDRO",600,"Moyenne","hausse","NIGER-BF-ABIDJAN","2022-07-24"
,"CHOU","SAN-PÉDRO",500,"faible","stable",,"2022-07-24"
,"COURGETTE","SAN-PÉDRO",500,"Moyenne","stable",,"2022-07-24"
,"NAVET","SAN-PÉDRO",500,"Moyenne","stable",,"2022-07-24"
,"CONCOMBRE","SAN-PÉDRO",400,"Moyenne","stable",,"2022-07-24"
,"BANANE DOUCE","SAN-PÉDRO",300,"Bonne","baisse",,"2022-07-24"
,"ANANAS","SAN-PÉDRO",500,"Moyenne","stable","Sud","2022-07-24"
,"AVOCAT","SAN-PÉDRO",500,"Moyenne","baisse","centre - Yamoussoukro","2022-07-24"
,"MANGUE","SAN-PÉDRO",300,"Faible","hausse",,"2022-07-24"
,"CITRON","SAN-PÉDRO",300,"Bonne","baisse",,"2022-07-24"
,"PAPAYE","SAN-PÉDRO",500,"Bonne","baisse",,"2022-07-24"
,"KPONAN","BOUAKÉ",700,"En hausse","baisse",,"2022-07-24"
,"ASSAWA","BOUAKÉ",500,"Faible",,,"2022-07-24"
,"BÊTÊ BÊTÊ","BOUAKÉ",400,"Faible","En hausse",,"2022-07-24"
,"KLÊGLÊ","BOUAKÉ",200,"Faible","En hausse",,"2022-07-24"
,"MANIOC","BOUAKÉ",200,"Moyenne","stable","Dans la moitié sud du pays","2022-07-24"
,"POMME DE TERRE","BOUAKÉ",500,"Bonne","baisse","importé","2022-07-24"
,"PATATE DOUCE","BOUAKÉ",500,"Moyenne","stable","Nord - Korhogo-ferke- Bodo","2022-07-24"
,"MIL","BOUAKÉ",400,"Moyenne","stable","Nord - BF","2022-07-24"
,"ARACHIDE DECORTIQUÉE","BOUAKÉ",600,"Moyenne","stable","Nord","2022-07-24"
,"HARICOT CEREALE BLANC","BOUAKÉ",400,"Moyenne","stable",,"2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(LONGS GRAINS)""}]}","BOUAKÉ",350,"Moyenne","baisse","nord-ouest-centre-","2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(BRISURES)""}]}","BOUAKÉ",300,"Moyenne","Baisse","nord-ouest-centre-","2022-07-24"
,"GOMBO Dioula","BOUAKÉ",150,"Moyenne","baisse","Divo","2022-07-24"
,"GOMBO Baoulé","BOUAKÉ",150,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"PIMENT","BOUAKÉ",1000,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"AUBERGINE VIOLETTE","BOUAKÉ",250,"Moyenne","stable","Toumodi, yamoussoukro,  BF etc","2022-07-24"
,"AUBERGINE N'DROWA","BOUAKÉ",250,"En hausse","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, BF etc","2022-07-24"
,"OIGNON BLANC","BOUAKÉ",500,"Bonne","stable","HOLLANDE-ABIDJAN","2022-07-24"
,"OIGNON VIOLET - NIGER-BF","BOUAKÉ",500,"Moyenne","hausse","NIGER-BF-ABIDJAN","2022-07-24"
,"CHOU","BOUAKÉ",350,"faible","stable",,"2022-07-24"
,"COURGETTE","BOUAKÉ",350,"Moyenne","stable",,"2022-07-24"
,"NAVET","BOUAKÉ",500,"Moyenne","stable",,"2022-07-24"
,"CONCOMBRE","BOUAKÉ",350,"Moyenne","stable",,"2022-07-24"
,"BANANE DOUCE","BOUAKÉ",300,"Bonne","baisse",,"2022-07-24"
,"ANANAS","BOUAKÉ",400,"Moyenne","stable","Sud","2022-07-24"
,"AVOCAT","BOUAKÉ",300,"Moyenne","baisse","centre - Yamoussoukro","2022-07-24"
,"MANGUE","BOUAKÉ",500,"Faible","hausse",,"2022-07-24"
,"CITRON","BOUAKÉ",875,"Bonne","baisse",,"2022-07-24"
,"PAPAYE","BOUAKÉ",200,"Bonne","baisse",,"2022-07-24"
,"KPONAN","YAKRO",700,"En hausse","baisse",,"2022-07-24"
,"ASSAWA","YAKRO",700,"Faible",,,"2022-07-24"
,"BÊTÊ BÊTÊ","YAKRO",500,"Faible","En hausse",,"2022-07-24"
,"KLÊGLÊ","YAKRO",700,"Faible","En hausse",,"2022-07-24"
,"MANIOC","YAKRO",200,"Moyenne","stable","Dans la moitié sud du pays","2022-07-24"
,"POMME DE TERRE","YAKRO",500,"Bonne","baisse","importé","2022-07-24"
,"PATATE DOUCE","YAKRO",200,"Moyenne","stable","Nord - Korhogo-ferke- Bodo","2022-07-24"
,"MIL","YAKRO",400,"Moyenne","stable","Nord - BF","2022-07-24"
,"ARACHIDE DECORTIQUÉE","YAKRO",700,"Moyenne","stable","Nord","2022-07-24"
,"HARICOT CEREALE BLANC","YAKRO",,"Moyenne","stable",,"2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(LONGS GRAINS)""}]}","YAKRO",400,"Moyenne","baisse","nord-ouest-centre-","2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(BRISURES)""}]}","YAKRO",350,"Moyenne","Baisse","nord-ouest-centre-","2022-07-24"
,"GOMBO Dioula","YAKRO",500,"Moyenne","baisse","Divo","2022-07-24"
,"GOMBO Baoulé","YAKRO",500,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"PIMENT","YAKRO",500,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"AUBERGINE VIOLETTE","YAKRO",500,"Moyenne","stable","Toumodi, yamoussoukro,  BF etc","2022-07-24"
,"AUBERGINE N'DROWA","YAKRO",500,"En hausse","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, BF etc","2022-07-24"
,"OIGNON BLANC","YAKRO",500,"Bonne","stable","HOLLANDE-ABIDJAN","2022-07-24"
,"OIGNON VIOLET - NIGER-BF","YAKRO",600,"Moyenne","hausse","NIGER-BF-ABIDJAN","2022-07-24"
,"CHOU","YAKRO",600,"faible","stable",,"2022-07-24"
,"COURGETTE","YAKRO",400,"Moyenne","stable",,"2022-07-24"
,"NAVET","YAKRO",500,"Moyenne","stable",,"2022-07-24"
,"CONCOMBRE","YAKRO",300,"Moyenne","stable",,"2022-07-24"
,"BANANE DOUCE","YAKRO",350,"Bonne","baisse",,"2022-07-24"
,"ANANAS","YAKRO",500,"Moyenne","stable","Sud","2022-07-24"
,"AVOCAT","YAKRO",500,"Moyenne","baisse","centre - Yamoussoukro","2022-07-24"
,"MANGUE","YAKRO",500,"Faible","hausse",,"2022-07-24"
,"CITRON","YAKRO",1000,"Bonne","baisse",,"2022-07-24"
,"PAPAYE","YAKRO",100,"Bonne","baisse",,"2022-07-24"
,"KPONAN","MAN",600,"En hausse","baisse",,"2022-07-24"
,"ASSAWA","MAN",600,"Faible",,,"2022-07-24"
,"BÊTÊ BÊTÊ","MAN",,"Faible","En hausse",,"2022-07-24"
,"KLÊGLÊ","MAN",,"Faible","En hausse",,"2022-07-24"
,"MANIOC","MAN",100,"Moyenne","stable","Dans la moitié sud du pays","2022-07-24"
,"POMME DE TERRE","MAN",700,"Bonne","baisse","importé","2022-07-24"
,"PATATE DOUCE","MAN",200,"Moyenne","stable","Nord - Korhogo-ferke- Bodo","2022-07-24"
,"MIL","MAN",400,"Moyenne","stable","Nord - BF","2022-07-24"
,"ARACHIDE DECORTIQUÉE","MAN",650,"Moyenne","stable","Nord","2022-07-24"
,"HARICOT CEREALE BLANC","MAN",400,"Moyenne","stable",,"2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(LONGS GRAINS)""}]}","MAN",350,"Moyenne","baisse","nord-ouest-centre-","2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(BRISURES)""}]}","MAN",350,"Moyenne","Baisse","nord-ouest-centre-","2022-07-24"
,"GOMBO Dioula","MAN",300,"Moyenne","baisse","Divo","2022-07-24"
,"GOMBO Baoulé","MAN",300,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"PIMENT","MAN",200,"Moyenne","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, etc","2022-07-24"
,"AUBERGINE VIOLETTE","MAN",300,"Moyenne","stable","Toumodi, yamoussoukro,  BF etc","2022-07-24"
,"AUBERGINE N'DROWA","MAN",200,"En hausse","baisse","Toumodi, yamoussoukro, divo, bouaflé, Dimbokro, tiémélékro, BF etc","2022-07-24"
,"OIGNON BLANC","MAN",600,"Bonne","stable","HOLLANDE-ABIDJAN","2022-07-24"
,"OIGNON VIOLET - NIGER-BF","MAN",500,"Moyenne","hausse","NIGER-BF-ABIDJAN","2022-07-24"
,"CHOU","MAN",600,"faible","stable",,"2022-07-24"
,"COURGETTE","MAN",400,"Moyenne","stable",,"2022-07-24"
,"NAVET","MAN",500,"Moyenne","stable",,"2022-07-24"
,"CONCOMBRE","MAN",200,"Moyenne","stable",,"2022-07-24"
,"BANANE DOUCE","MAN",300,"Bonne","baisse",,"2022-07-24"
,"ANANAS","MAN",200,"Moyenne","stable","Sud","2022-07-24"
,"AVOCAT","MAN",500,"Moyenne","baisse","centre - Yamoussoukro","2022-07-24"
,"MANGUE","MAN",600,"Faible","hausse",,"2022-07-24"
,"CITRON","MAN",350,"Bonne","baisse",,"2022-07-24"
,"PAPAYE","MAN",100,"Bonne","baisse",,"2022-07-24"
,"KPONAN","KORHOGO",600,"En hausse","baisse",,"2022-07-24"
,"ASSAWA","KORHOGO",,"Faible",,,"2022-07-24"
,"BÊTÊ BÊTÊ","KORHOGO",600,"Faible","En hausse",,"2022-07-24"
,"KLÊGLÊ","KORHOGO",,"Faible","En hausse",,"2022-07-24"
,"MANIOC","KORHOGO",300,"Moyenne","stable","Dans la moitié sud du pays","2022-07-24"
,"POMME DE TERRE","KORHOGO",500,"Bonne","baisse","importé","2022-07-24"
,"PATATE DOUCE","KORHOGO",300,"Moyenne","stable","Nord - Korhogo-ferke- Bodo","2022-07-24"
,"MIL","KORHOGO",350,"Moyenne","stable","Nord - BF","2022-07-24"
,"ARACHIDE DECORTIQUÉE","KORHOGO",500,"Moyenne","stable","Nord","2022-07-24"
,"HARICOT CEREALE BLANC","KORHOGO",650,"Moyenne","stable",,"2022-07-24"
,"{""richText"":[{""font"":{""name"":""Calibri, Arial"",""color"":{""theme"":1},""size"":11},""text"":""RIZ LOCAL ""},{""font"":{""name"":""Calibri"",""italic"":true,""color"":{""theme"":1},""size"":11},""text"":""(LONGS GRAINS)""}]}","KORHOGO",400,"Moyenne","baisse","nord-ouest-centre-","2022-07-24"
